Результат расчета с распределением uniform
X:-19.910 Y:-17.605 Z:0.000  
X:10.482 Y:20.231 Z:30.610  
X:41.477 Y:51.436 Z:61.743  
X:73.323 Y:82.695 Z:95.424  
X:103.364 Y:111.149 Z:122.223  
X:147.161 Y:177.954 Z:107.837  
X:84.567 Y:66.716 Z:179.573  
X:-314.132 Y:-80.733 Z:-78.886  
X:-85.053 Y:-84.024 Z:-79.184  
X:-81.104 Y:-72.078 Z:-69.455  
X:-65.490 Y:-59.209 Z:-61.288  
X:-46.729 Y:-36.661 Z:-31.378  
X:-24.531 Y:-21.392 Z:-10.615  
X:0.000 Y:12.408 Z:20.866  
X:27.525 Y:35.830 Z:45.200  
X:54.618 Y:64.287 Z:72.151  
X:80.266 Y:90.100 Z:106.757  
X:127.672 Y:145.769 Z:89.135  
X:75.961 Y:61.246 Z:56.246  
X:174.699 Y:-259.179 Z:-61.682  
X:-62.155 Y:-64.219 Z:-58.536  
X:-58.609 Y:-57.751 Z:-55.651  
X:-54.889 Y:-46.611 Z:-44.277  
X:-37.833 Y:-33.962 Z:-29.929  
X:-26.026 Y:-20.375 Z:-16.154  
X:-8.451 Y:0.000 Z:7.982  
X:14.655 Y:25.371 Z:34.930  
X:41.542 Y:50.143 Z:57.857  
X:71.534 Y:84.709 Z:98.890  
X:107.638 Y:79.139 Z:66.470  
X:60.595 Y:53.141 Z:48.070  
X:48.798 Y:150.593 Z:-225.897  
X:-47.074 Y:-50.173 Z:-48.361  
X:-47.638 Y:-47.635 Z:-44.181  
X:-41.114 Y:-38.894 Z:-36.392  
X:-33.428 Y:-29.278 Z:-26.541  
X:-25.653 Y:-21.645 Z:-17.228  
X:-13.656 Y:-4.487 Z:0.000  
X:4.160 Y:8.081 Z:12.378  
X:16.247 Y:20.341 Z:26.342  
X:30.316 Y:34.312 Z:36.673  
X:39.482 Y:42.455 Z:41.050  
X:40.138 Y:40.122 Z:38.249  
X:37.418 Y:39.798 Z:118.060  
X:-159.161 Y:-38.068 Z:-36.882  
X:-34.879 Y:-33.254 Z:-34.316  
X:-31.221 Y:-30.116 Z:-28.108  
X:-24.841 Y:-24.669 Z:-22.333  
X:-22.625 Y:-18.098 Z:-16.632  
X:-14.741 Y:-7.310 Z:-3.347  
X:0.000 Y:2.815 Z:5.919  
X:8.761 Y:11.054 Z:13.394  
