Результат расчета с распределением uniform
X:107.718 Y:97.792 Z:302.587  
X:555.812 Y:132.783 Z:135.349  
X:142.576 Y:133.586 Z:138.681  
X:143.006 Y:145.692 Z:153.658  
X:141.363 Y:147.720 Z:141.452  
X:145.662 Y:151.871 Z:163.186  
X:168.825 Y:199.494 Z:207.940  
X:184.868 Y:196.405 Z:180.982  
X:210.218 Y:219.014 Z:210.798  
X:215.064 Y:216.318 Z:238.657  
X:256.906 Y:276.838 Z:281.792  
X:195.968 Y:157.281 Z:138.286  
X:117.981 Y:104.678 Z:105.047  
X:322.949 Y:620.646 Z:129.829  
X:139.975 Y:137.557 Z:139.285  
X:144.407 Y:140.163 Z:137.899  
X:139.497 Y:141.401 Z:142.883  
X:140.245 Y:145.844 Z:166.770  
X:173.873 Y:182.887 Z:216.061  
X:141.459 Y:128.629 Z:131.127  
X:127.859 Y:131.401 Z:130.511  
X:132.238 Y:144.750 Z:145.218  
X:146.659 Y:142.493 Z:141.604  
X:142.396 Y:130.231 Z:121.677  
X:117.309 Y:108.794 Z:104.392  
X:109.762 Y:324.368 Z:593.997  
X:142.616 Y:139.767 Z:134.760  
X:132.071 Y:141.309 Z:134.543  
X:137.208 Y:136.938 Z:131.110  
X:143.231 Y:145.309 Z:168.879  
X:159.819 Y:181.483 Z:212.558  
X:157.104 Y:143.314 Z:131.712  
X:120.539 Y:127.204 Z:126.335  
X:120.622 Y:118.280 Z:119.933  
X:111.344 Y:119.027 Z:117.739  
X:116.183 Y:111.352 Z:109.397  
X:105.539 Y:103.012 Z:109.363  
X:112.211 Y:116.847 Z:374.754  
X:671.070 Y:149.395 Z:136.704  
X:127.097 Y:133.806 Z:131.275  
X:126.542 Y:131.548 Z:124.499  
X:139.332 Y:142.338 Z:157.653  
X:173.632 Y:183.462 Z:196.442  
X:179.412 Y:137.205 Z:142.698  
X:134.365 Y:141.530 Z:130.469  
X:122.868 Y:130.264 Z:120.271  
X:122.005 Y:113.392 Z:118.102  
X:108.611 Y:114.130 Z:108.954  
X:108.845 Y:107.719 Z:115.775  
X:114.733 Y:114.038 Z:112.747  
X:431.786 Y:696.553 Z:696.814  
X:132.005 Y:126.573 Z:129.781  
X:125.955 Y:116.254 Z:133.198  
X:141.607 Y:153.019 Z:164.565  
X:179.080 Y:223.842 Z:160.968  
X:147.843 Y:142.912 Z:144.710  
X:135.851 Y:131.816 Z:143.103  
X:129.602 Y:136.690 Z:126.657  
X:122.957 Y:129.644 Z:125.964  
X:126.498 Y:131.071 Z:121.815  
X:130.522 Y:126.243 Z:120.999  
X:117.938 Y:123.648 Z:120.128  
X:574.902 Y:570.613 Z:671.678  
X:715.779 Y:680.836 Z:756.840  
X:718.182 Y:688.119 Z:680.105  
X:722.748 Y:700.111 Z:713.000  
X:716.416 Y:736.560 Z:683.346  
X:677.321 Y:673.016 Z:716.277  
X:665.072 Y:685.461 Z:635.915  
X:702.718 Y:663.089 Z:716.319  
X:704.028 Y:734.536 Z:668.202  
X:691.642 Y:760.307 Z:678.841  
X:677.758 Y:715.693 Z:679.214  
X:702.970 Y:690.075 Z:699.861  
X:634.579 Y:636.842 Z:693.605  
X:636.842 Y:634.579 Z:699.861  
X:690.075 Y:702.970 Z:679.214  
X:715.693 Y:677.758 Z:678.841  
X:760.307 Y:691.642 Z:668.202  
X:734.536 Y:704.028 Z:716.319  
X:663.089 Y:702.718 Z:635.915  
X:685.461 Y:665.072 Z:716.277  
X:673.016 Y:677.321 Z:683.346  
X:736.560 Y:716.416 Z:713.000  
X:700.111 Y:722.748 Z:680.105  
X:688.119 Y:718.182 Z:756.840  
X:680.836 Y:715.779 Z:671.678  
X:570.613 Y:574.902 Z:120.128  
X:123.648 Y:117.938 Z:120.999  
X:126.243 Y:130.522 Z:121.815  
X:131.071 Y:126.498 Z:125.964  
X:129.644 Y:122.957 Z:126.657  
X:136.690 Y:129.602 Z:143.103  
X:131.816 Y:135.851 Z:144.710  
X:142.912 Y:147.843 Z:160.968  
X:223.842 Y:179.080 Z:164.565  
X:153.019 Y:141.607 Z:133.198  
X:116.254 Y:125.955 Z:129.781  
X:126.573 Y:132.005 Z:696.814  
X:696.553 Y:431.786 Z:112.747  
X:114.038 Y:114.733 Z:115.775  
X:107.719 Y:108.845 Z:108.954  
X:114.130 Y:108.611 Z:118.102  
X:113.392 Y:122.005 Z:120.271  
X:130.264 Y:122.868 Z:130.469  
X:141.530 Y:134.365 Z:142.698  
X:137.205 Y:179.412 Z:196.442  
X:183.462 Y:173.632 Z:157.653  
X:142.338 Y:139.332 Z:124.499  
X:131.548 Y:126.542 Z:131.275  
X:133.806 Y:127.097 Z:136.704  
X:149.395 Y:671.070 Z:374.754  
X:116.847 Y:112.211 Z:109.363  
X:103.012 Y:105.539 Z:109.397  
X:111.352 Y:116.183 Z:117.739  
X:119.027 Y:111.344 Z:119.933  
X:118.280 Y:120.622 Z:126.335  
X:127.204 Y:120.539 Z:131.712  
X:143.314 Y:157.104 Z:212.558  
X:181.483 Y:159.819 Z:168.879  
X:145.309 Y:143.231 Z:131.110  
X:136.938 Y:137.208 Z:134.543  
X:141.309 Y:132.071 Z:134.760  
X:139.767 Y:142.616 Z:593.997  
X:324.368 Y:109.762 Z:104.392  
X:108.794 Y:117.309 Z:121.677  
X:130.231 Y:142.396 Z:141.604  
X:142.493 Y:146.659 Z:145.218  
X:144.750 Y:132.238 Z:130.511  
X:131.401 Y:127.859 Z:131.127  
X:128.629 Y:141.459 Z:216.061  
X:182.887 Y:173.873 Z:166.770  
X:145.844 Y:140.245 Z:142.883  
X:141.401 Y:139.497 Z:137.899  
X:140.163 Y:144.407 Z:139.285  
X:137.557 Y:139.975 Z:129.829  
X:620.646 Y:322.949 Z:105.047  
X:104.678 Y:117.981 Z:138.286  
X:157.281 Y:195.968 Z:281.792  
X:276.838 Y:256.906 Z:238.657  
X:216.318 Y:215.064 Z:210.798  
X:219.014 Y:210.218 Z:180.982  
X:196.405 Y:184.868 Z:207.940  
X:199.494 Y:168.825 Z:163.186  
X:151.871 Y:145.662 Z:141.452  
X:147.720 Y:141.363 Z:153.658  
X:145.692 Y:143.006 Z:138.681  
X:133.586 Y:142.576 Z:135.349  
X:132.783 Y:555.812 Z:302.587  
X:97.792 Y:107.718 Z:136.210  
X:164.294 Y:278.581 Z:255.344  
X:225.731 Y:203.719 Z:196.611  
X:194.416 Y:194.129 Z:189.204  
X:185.246 Y:181.449 Z:184.199  
X:208.129 Y:246.585 Z:196.698  
X:210.943 Y:213.379 Z:164.163  
X:158.905 Y:150.252 Z:161.875  
X:185.073 Y:159.543 Z:160.416  
X:157.041 Y:152.405 Z:162.208  
X:151.329 Y:154.874 Z:152.513  
X:138.742 Y:140.367 Z:544.092  
X:256.458 Y:95.644 Z:122.638  
X:159.440 Y:270.455 Z:231.895  
X:201.556 Y:193.783 Z:192.703  
X:192.728 Y:183.733 Z:182.566  
X:176.357 Y:173.818 Z:173.192  
X:168.905 Y:166.389 Z:171.756  
X:266.690 Y:288.480 Z:163.745  
X:149.424 Y:163.853 Z:168.353  
X:163.835 Y:174.598 Z:166.537  
X:163.527 Y:166.464 Z:147.543  
X:151.326 Y:140.595 Z:143.358  
X:141.619 Y:169.255 Z:175.893  
X:693.371 Y:242.655 Z:99.454  
X:129.613 Y:210.144 Z:229.658  
X:189.908 Y:184.862 Z:181.813  
X:184.829 Y:183.379 Z:172.939  
X:169.726 Y:162.400 Z:161.518  
X:159.424 Y:154.071 Z:156.397  
X:154.684 Y:153.881 Z:159.560  
X:165.486 Y:162.628 Z:161.207  
X:156.791 Y:157.187 Z:154.244  
X:156.490 Y:156.805 Z:158.103  
X:164.835 Y:144.900 Z:143.517  
X:156.254 Y:164.076 Z:174.734  
X:167.664 Y:601.456 Z:197.929  
X:100.562 Y:141.894 Z:226.763  
X:187.431 Y:175.611 Z:178.678  
X:186.156 Y:183.728 Z:173.679  
X:164.462 Y:161.054 Z:152.470  
X:150.520 Y:148.329 Z:143.345  
X:139.833 Y:146.063 Z:236.312  
X:190.770 Y:136.703 Z:136.727  
X:143.791 Y:144.059 Z:145.517  
X:142.651 Y:145.768 Z:146.967  
X:152.524 Y:146.459 Z:145.862  
X:150.133 Y:147.229 Z:158.451  
X:160.604 Y:151.086 Z:548.874  
X:158.274 Y:96.375 Z:142.317  
X:203.056 Y:165.598 Z:186.485  
X:177.287 Y:174.590 Z:164.910  
X:160.710 Y:151.783 Z:149.513  
X:142.240 Y:137.455 Z:140.813  
X:135.491 Y:134.997 Z:193.105  
X:170.468 Y:226.456 Z:130.951  
X:123.381 Y:135.957 Z:127.221  
X:129.543 Y:133.820 Z:122.775  
X:123.499 Y:135.200 Z:136.257  
X:136.886 Y:141.024 Z:140.041  
X:135.783 Y:145.610 Z:152.204  
X:497.134 Y:116.387 Z:99.721  
X:146.804 Y:175.900 Z:204.204  
X:180.454 Y:168.887 Z:162.142  
X:153.039 Y:146.074 Z:139.776  
X:135.138 Y:129.475 Z:127.448  
X:123.056 Y:131.269 Z:184.516  
X:192.252 Y:145.327 Z:213.267  
X:94.127 Y:127.749 Z:129.110  
X:122.554 Y:122.259 Z:119.329  
X:122.361 Y:122.391 Z:116.270  
X:114.987 Y:109.752 Z:110.819  
X:123.901 Y:127.465 Z:145.067  
X:161.693 Y:481.194 Z:74.392  
X:99.137 Y:137.274 Z:172.815  
X:203.355 Y:165.890 Z:151.281  
X:140.531 Y:130.927 Z:120.668  
X:84.620 Y:95.583 Z:116.024  
X:138.861 Y:158.873 Z:173.527  
X:167.321 Y:139.329 Z:135.517  
X:183.468 Y:87.198 Z:93.797  
X:94.358 Y:96.909 Z:99.290  
X:103.610 Y:93.130 Z:113.029  
X:110.328 Y:100.857 Z:92.427  
X:93.467 Y:108.488 Z:127.545  
X:135.119 Y:146.298 Z:380.362  
X:173.632 Y:91.063 Z:111.801  
X:136.510 Y:239.210 Z:165.024  
X:138.423 Y:118.277 Z:95.504  
X:108.225 Y:117.305 Z:132.752  
X:142.679 Y:156.158 Z:175.245  
X:139.443 Y:121.583 Z:118.387  
X:115.097 Y:145.109 Z:85.741  
X:97.304 Y:102.043 Z:101.705  
X:95.440 Y:98.741 Z:92.589  
X:91.009 Y:88.094 Z:95.186  
X:88.022 Y:90.015 Z:95.002  
X:104.341 Y:116.886 Z:131.579  
X:318.526 Y:93.706 Z:67.786  
X:89.878 Y:120.471 Z:113.997  
X:121.616 Y:119.117 Z:115.571  
X:116.714 Y:125.097 Z:128.957  
X:141.649 Y:132.232 Z:107.954  
X:105.917 Y:95.386 Z:96.285  
X:92.671 Y:97.323 Z:96.260  
X:79.289 Y:90.329 Z:92.920  
X:95.791 Y:93.440 Z:90.313  
X:86.695 Y:95.140 Z:82.956  
X:87.477 Y:84.312 Z:87.551  
X:91.528 Y:98.657 Z:108.341  
X:111.692 Y:267.373 Z:62.698  
X:48.337 Y:43.725 Z:57.533  
X:84.097 Y:81.207 Z:69.290  
X:62.129 Y:68.909 Z:80.095  
X:77.721 Y:74.186 Z:74.142  
X:82.220 Y:79.992 Z:76.046  
X:73.609 Y:71.837 Z:75.538  
X:54.456 Y:66.734 Z:77.587  
X:78.488 Y:78.021 Z:80.208  
X:73.727 Y:80.330 Z:76.326  
X:77.222 Y:73.950 Z:78.539  
X:79.926 Y:79.450 Z:82.515  
X:85.192 Y:100.516 Z:183.874  
X:38.137 Y:39.433 Z:32.403  
X:41.431 Y:47.068 Z:50.874  
X:30.367 Y:30.797 Z:39.652  
X:50.646 Y:50.045 Z:47.222  
X:50.324 Y:51.809 Z:50.900  
X:49.117 Y:49.861 Z:49.671  
X:53.209 Y:43.016 Z:51.689  
X:54.628 Y:52.262 Z:54.365  
X:63.261 Y:63.629 Z:66.856  
X:60.110 Y:62.355 Z:64.539  
X:68.366 Y:64.351 Z:69.615  
X:67.149 Y:72.966 Z:81.710  
X:136.830 Y:32.679 Z:19.715  
X:19.497 Y:21.274 Z:20.591  
X:21.384 Y:15.137 Z:17.001  
X:20.608 Y:22.629 Z:24.666  
X:25.442 Y:25.116 Z:24.902  
X:24.376 Y:25.243 Z:23.669  
X:24.849 Y:20.599 Z:28.813  
X:28.183 Y:29.710 Z:29.989  
X:30.874 Y:31.078 Z:32.492  
X:31.412 Y:31.467 Z:33.305  
X:33.026 Y:34.107 Z:35.283  
X:33.537 Y:36.684 Z:37.366  
X:39.161 Y:61.019 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:22.548  
X:57.373 Y:91.240 Z:134.486  
X:165.231 Y:211.745 Z:236.206  
X:247.208 Y:266.854 Z:295.812  
X:291.968 Y:307.958 Z:319.916  
X:323.420 Y:324.885 Z:341.825  
X:314.608 Y:390.718 Z:272.108  
X:296.113 Y:301.689 Z:290.275  
X:254.282 Y:230.399 Z:192.567  
X:170.042 Y:146.566 Z:108.021  
X:80.191 Y:81.939 Z:72.510  
X:63.320 Y:66.773 Z:46.185  
X:19.591 Y:0.000 Z:0.000  
X:39.012 Y:74.165 Z:108.524  
X:131.108 Y:170.434 Z:194.920  
X:216.516 Y:244.693 Z:254.325  
X:275.038 Y:304.218 Z:307.636  
X:319.830 Y:322.099 Z:328.018  
X:317.234 Y:328.076 Z:235.449  
X:282.943 Y:266.432 Z:278.693  
X:261.821 Y:257.964 Z:248.616  
X:238.212 Y:215.971 Z:182.893  
X:151.412 Y:111.462 Z:86.507  
X:103.298 Y:80.498 Z:62.936  
X:38.698 Y:19.640 Z:0.000  
X:0.000 Y:40.388 Z:71.857  
X:98.564 Y:135.032 Z:154.237  
X:193.862 Y:209.939 Z:227.309  
X:241.054 Y:290.452 Z:295.599  
X:310.704 Y:279.432 Z:278.517  
X:299.253 Y:288.691 Z:243.025  
X:301.762 Y:280.625 Z:278.480  
X:269.063 Y:271.260 Z:266.296  
X:247.166 Y:219.378 Z:217.418  
X:203.102 Y:144.548 Z:100.179  
X:86.111 Y:121.934 Z:91.297  
X:60.814 Y:31.910 Z:19.491  
X:0.000 Y:0.000 Z:32.695  
X:55.210 Y:79.703 Z:101.413  
X:126.062 Y:146.557 Z:158.299  
X:185.249 Y:201.420 Z:229.658  
X:225.391 Y:259.237 Z:263.898  
X:275.256 Y:279.692 Z:245.270  
X:202.459 Y:281.911 Z:267.079  
X:270.539 Y:274.136 Z:280.530  
X:278.098 Y:239.631 Z:226.796  
X:222.198 Y:211.369 Z:165.308  
X:132.994 Y:129.297 Z:128.082  
X:107.345 Y:55.572 Z:28.336  
X:15.723 Y:0.000 Z:0.000  
X:26.746 Y:51.689 Z:70.155  
X:86.008 Y:101.658 Z:115.823  
X:137.854 Y:146.504 Z:184.834  
X:182.465 Y:203.258 Z:222.329  
X:238.525 Y:239.898 Z:239.721  
X:214.536 Y:263.466 Z:267.393  
X:253.642 Y:260.521 Z:253.141  
X:273.454 Y:268.812 Z:314.630  
X:318.796 Y:271.414 Z:243.033  
X:206.122 Y:182.126 Z:163.635  
X:141.212 Y:107.122 Z:85.667  
X:42.880 Y:16.232 Z:0.000  
X:0.000 Y:24.593 Z:43.527  
X:57.913 Y:69.680 Z:81.581  
X:94.382 Y:117.082 Z:121.435  
X:138.006 Y:152.103 Z:173.457  
X:177.250 Y:197.672 Z:205.635  
X:201.559 Y:181.080 Z:310.004  
X:246.827 Y:252.916 Z:256.774  
X:288.848 Y:353.149 Z:303.505  
X:264.984 Y:233.203 Z:192.708  
X:164.112 Y:131.649 Z:145.486  
X:148.425 Y:149.563 Z:175.452  
X:75.769 Y:41.634 Z:17.020  
X:0.000 Y:0.000 Z:22.085  
X:40.640 Y:57.177 Z:64.268  
X:68.418 Y:80.044 Z:100.198  
X:122.833 Y:138.432 Z:123.568  
X:147.003 Y:148.935 Z:152.124  
X:153.577 Y:156.926 Z:148.737  
X:316.567 Y:234.722 Z:240.406  
X:285.406 Y:290.317 Z:258.581  
X:217.980 Y:174.036 Z:135.615  
X:112.276 Y:147.788 Z:145.766  
X:139.612 Y:131.013 Z:121.431  
X:120.467 Y:77.471 Z:41.287  
X:14.966 Y:0.000 Z:0.000  
X:20.126 Y:35.976 Z:47.115  
X:60.520 Y:66.886 Z:78.371  
X:94.192 Y:106.736 Z:123.597  
X:133.866 Y:139.599 Z:151.212  
X:158.626 Y:173.268 Z:176.228  
X:132.385 Y:303.418 Z:207.548  
X:273.520 Y:259.513 Z:181.083  
X:165.143 Y:164.962 Z:160.136  
X:158.094 Y:152.918 Z:147.513  
X:140.490 Y:132.819 Z:120.598  
X:108.915 Y:99.744 Z:65.018  
X:36.407 Y:12.412 Z:0.000  
X:0.000 Y:15.809 Z:30.133  
X:41.882 Y:57.081 Z:71.028  
X:81.567 Y:93.140 Z:103.569  
X:104.072 Y:112.085 Z:130.639  
X:133.700 Y:137.411 Z:152.256  
X:142.030 Y:153.691 Z:268.853  
X:203.156 Y:229.258 Z:158.439  
X:155.969 Y:157.694 Z:148.464  
X:146.804 Y:145.959 Z:138.569  
X:135.430 Y:126.328 Z:119.343  
X:105.641 Y:93.924 Z:67.498  
X:62.632 Y:29.452 Z:10.010  
X:0.000 Y:0.000 Z:13.168  
X:27.889 Y:41.010 Z:50.355  
X:63.449 Y:72.931 Z:84.006  
X:98.040 Y:103.922 Z:111.665  
X:116.853 Y:126.021 Z:130.562  
X:135.119 Y:132.068 Z:134.626  
X:190.044 Y:236.312 Z:145.507  
X:137.709 Y:138.460 Z:139.384  
X:136.417 Y:132.043 Z:131.928  
X:125.985 Y:122.809 Z:118.098  
X:106.775 Y:89.339 Z:74.217  
X:64.105 Y:58.690 Z:24.640  
X:8.765 Y:0.000 Z:0.000  
X:12.262 Y:25.460 Z:35.633  
X:44.843 Y:50.894 Z:60.793  
X:79.333 Y:85.275 Z:93.038  
X:100.590 Y:106.019 Z:114.225  
X:119.237 Y:127.111 Z:131.811  
X:136.750 Y:133.377 Z:129.122  
X:129.302 Y:129.239 Z:124.876  
X:125.705 Y:122.832 Z:118.013  
X:116.661 Y:111.163 Z:108.805  
X:99.690 Y:87.505 Z:77.559  
X:67.345 Y:65.909 Z:45.638  
X:18.886 Y:7.273 Z:0.000  
X:0.000 Y:10.734 Z:20.580  
X:25.665 Y:34.332 Z:41.605  
X:52.980 Y:59.257 Z:74.923  
X:80.966 Y:89.329 Z:100.146  
X:99.349 Y:106.838 Z:107.812  
X:101.062 Y:112.913 Z:201.227  
X:186.738 Y:119.807 Z:114.737  
X:114.239 Y:113.957 Z:110.306  
X:106.942 Y:104.716 Z:98.553  
X:95.424 Y:86.733 Z:77.828  
X:70.566 Y:68.623 Z:64.770  
X:28.895 Y:14.911 Z:5.837  
X:0.000 Y:0.000 Z:7.063  
X:13.910 Y:22.790 Z:30.582  
X:36.924 Y:46.825 Z:50.470  
X:58.280 Y:65.490 Z:70.562  
X:87.528 Y:80.937 Z:78.621  
X:86.211 Y:91.550 Z:121.323  
X:121.325 Y:113.564 Z:141.824  
X:118.338 Y:102.724 Z:98.442  
X:96.931 Y:94.602 Z:91.811  
X:85.986 Y:80.266 Z:75.603  
X:74.752 Y:73.711 Z:67.973  
X:32.442 Y:20.354 Z:10.799  
X:4.921 Y:0.000 Z:0.000  
X:5.396 Y:10.960 Z:17.207  
X:21.305 Y:27.330 Z:33.342  
X:38.967 Y:46.057 Z:46.611  
X:52.767 Y:54.031 Z:58.823  
X:64.184 Y:71.506 Z:76.042  
X:91.612 Y:96.595 Z:86.205  
X:91.236 Y:83.111 Z:94.686  
X:95.969 Y:89.087 Z:86.850  
X:82.628 Y:85.251 Z:84.709  
X:82.978 Y:75.369 Z:45.691  
X:30.995 Y:22.055 Z:14.239  
X:8.476 Y:4.269 Z:0.000  
X:0.000 Y:4.118 Z:8.847  
X:12.958 Y:17.339 Z:22.213  
X:25.508 Y:28.788 Z:32.636  
X:36.392 Y:39.838 Z:41.813  
X:45.971 Y:55.012 Z:59.468  
X:64.297 Y:77.445 Z:51.291  
X:46.817 Y:47.545 Z:45.830  
X:46.196 Y:44.637 Z:43.621  
X:45.626 Y:43.296 Z:40.891  
X:36.673 Y:33.129 Z:29.727  
X:23.700 Y:18.716 Z:14.603  
X:10.249 Y:6.598 Z:3.482  
X:0.000 Y:0.000 Z:3.331  
X:6.503 Y:9.346 Z:12.104  
X:16.002 Y:18.025 Z:21.087  
X:23.585 Y:24.841 Z:29.400  
X:31.894 Y:39.189 Z:38.811  
X:45.696 Y:55.014 Z:41.456  
X:38.255 Y:35.292 Z:32.176  
X:33.566 Y:32.698 Z:30.371  
X:28.724 Y:27.830 Z:24.439  
X:24.432 Y:22.308 Z:20.011  
X:17.114 Y:14.656 Z:11.951  
X:9.440 Y:7.584 Z:5.221  
X:2.729 Y:0.000 Z:0.000  
X:2.296 Y:4.186 Z:5.800  
X:8.069 Y:9.782 Z:11.156  
X:13.304 Y:14.111 Z:17.372  
X:19.226 Y:22.771 Z:26.514  
X:29.318 Y:32.549 Z:30.557  
X:23.825 Y:25.066 Z:23.692  
X:24.861 Y:22.656 Z:20.927  
X:21.584 Y:19.220 Z:18.631  
X:16.378 Y:15.953 Z:13.542  
X:12.936 Y:11.019 Z:9.596  
X:8.027 Y:6.982 Z:5.236  
X:3.492 Y:1.733 Z:0.000  
X:0.000 Y:5.313 Z:2.005  
X:2.866 Y:3.883 Z:4.657  
X:5.085 Y:6.684 Z:7.963  
X:9.466 Y:11.029 Z:12.834  
X:16.960 Y:12.763 Z:12.155  
X:12.077 Y:12.468 Z:11.840  
X:11.532 Y:12.472 Z:11.166  
X:11.551 Y:10.413 Z:9.749  
X:9.823 Y:9.027 Z:8.478  
X:8.109 Y:6.850 Z:6.550  
X:5.522 Y:4.474 Z:3.529  
X:2.800 Y:1.825 Z:4.384  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-0.000 Y:-0.000 Z:-0.000  
X:-4.384 Y:-1.825 Z:-2.800  
X:-3.529 Y:-4.474 Z:-5.522  
X:-6.550 Y:-6.850 Z:-8.109  
X:-8.478 Y:-9.027 Z:-9.823  
X:-9.749 Y:-10.413 Z:-11.551  
X:-11.166 Y:-12.472 Z:-11.532  
X:-11.840 Y:-12.468 Z:-12.077  
X:-12.155 Y:-12.763 Z:-16.960  
X:-12.834 Y:-11.029 Z:-9.466  
X:-7.963 Y:-6.684 Z:-5.085  
X:-4.657 Y:-3.883 Z:-2.866  
X:-2.005 Y:-5.313 Z:-0.000  
X:-0.000 Y:-1.733 Z:-3.492  
X:-5.236 Y:-6.982 Z:-8.027  
X:-9.596 Y:-11.019 Z:-12.936  
X:-13.542 Y:-15.953 Z:-16.378  
X:-18.631 Y:-19.220 Z:-21.584  
X:-20.927 Y:-22.656 Z:-24.861  
X:-23.692 Y:-25.066 Z:-23.825  
X:-30.557 Y:-32.549 Z:-29.318  
X:-26.514 Y:-22.771 Z:-19.226  
X:-17.372 Y:-14.111 Z:-13.304  
X:-11.156 Y:-9.782 Z:-8.069  
X:-5.800 Y:-4.186 Z:-2.296  
X:-0.000 Y:-0.000 Z:-2.729  
X:-5.221 Y:-7.584 Z:-9.440  
X:-11.951 Y:-14.656 Z:-17.114  
X:-20.011 Y:-22.308 Z:-24.432  
X:-24.439 Y:-27.830 Z:-28.724  
X:-30.371 Y:-32.698 Z:-33.566  
X:-32.176 Y:-35.292 Z:-38.255  
X:-41.456 Y:-55.014 Z:-45.696  
X:-38.811 Y:-39.189 Z:-31.894  
X:-29.400 Y:-24.841 Z:-23.585  
X:-21.087 Y:-18.025 Z:-16.002  
X:-12.104 Y:-9.346 Z:-6.503  
X:-3.331 Y:-0.000 Z:-0.000  
X:-3.482 Y:-6.598 Z:-10.249  
X:-14.603 Y:-18.716 Z:-23.700  
X:-29.727 Y:-33.129 Z:-36.673  
X:-40.891 Y:-43.296 Z:-45.626  
X:-43.621 Y:-44.637 Z:-46.196  
X:-45.830 Y:-47.545 Z:-46.817  
X:-51.291 Y:-77.445 Z:-64.297  
X:-59.468 Y:-55.012 Z:-45.971  
X:-41.813 Y:-39.838 Z:-36.392  
X:-32.636 Y:-28.788 Z:-25.508  
X:-22.213 Y:-17.339 Z:-12.958  
X:-8.847 Y:-4.118 Z:-0.000  
X:-0.000 Y:-4.269 Z:-8.476  
X:-14.239 Y:-22.055 Z:-30.995  
X:-45.691 Y:-75.369 Z:-82.978  
X:-84.709 Y:-85.251 Z:-82.628  
X:-86.850 Y:-89.087 Z:-95.969  
X:-94.686 Y:-83.111 Z:-91.236  
X:-86.205 Y:-96.595 Z:-91.612  
X:-76.042 Y:-71.506 Z:-64.184  
X:-58.823 Y:-54.031 Z:-52.767  
X:-46.611 Y:-46.057 Z:-38.967  
X:-33.342 Y:-27.330 Z:-21.305  
X:-17.207 Y:-10.960 Z:-5.396  
X:-0.000 Y:-0.000 Z:-4.921  
X:-10.799 Y:-20.354 Z:-32.442  
X:-67.973 Y:-73.711 Z:-74.752  
X:-75.603 Y:-80.266 Z:-85.986  
X:-91.811 Y:-94.602 Z:-96.931  
X:-98.442 Y:-102.724 Z:-118.338  
X:-141.824 Y:-113.564 Z:-121.325  
X:-121.323 Y:-91.550 Z:-86.211  
X:-78.621 Y:-80.937 Z:-87.528  
X:-70.562 Y:-65.490 Z:-58.280  
X:-50.470 Y:-46.825 Z:-36.924  
X:-30.582 Y:-22.790 Z:-13.910  
X:-7.063 Y:-0.000 Z:-0.000  
X:-5.837 Y:-14.911 Z:-28.895  
X:-64.770 Y:-68.623 Z:-70.566  
X:-77.828 Y:-86.733 Z:-95.424  
X:-98.553 Y:-104.716 Z:-106.942  
X:-110.306 Y:-113.957 Z:-114.239  
X:-114.737 Y:-119.807 Z:-186.738  
X:-201.227 Y:-112.913 Z:-101.062  
X:-107.812 Y:-106.838 Z:-99.349  
X:-100.146 Y:-89.329 Z:-80.966  
X:-74.923 Y:-59.257 Z:-52.980  
X:-41.605 Y:-34.332 Z:-25.665  
X:-20.580 Y:-10.734 Z:-0.000  
X:-0.000 Y:-7.273 Z:-18.886  
X:-45.638 Y:-65.909 Z:-67.345  
X:-77.559 Y:-87.505 Z:-99.690  
X:-108.805 Y:-111.163 Z:-116.661  
X:-118.013 Y:-122.832 Z:-125.705  
X:-124.876 Y:-129.239 Z:-129.302  
X:-129.122 Y:-133.377 Z:-136.750  
X:-131.811 Y:-127.111 Z:-119.237  
